Tank,Salinity,Day,Treatment,Proportion Alive
A,30,1,In,1
A,30,2,In,1
A,30,3,In,1
A,30,4,In,1
A,30,5,In,1
A,30,6,In,0.5
A,30,7,In,0.5
A,30,8,In,0.5
A,30,9,In,0.5
A,30,10,In,0.5
A,30,11,In,0.5
A,30,12,In,0.5
A,30,13,In,0.5
A,30,14,In,0.5
A,30,15,In,0.5
A,30,16,In,0.5
A,30,17,In,0.5
A,30,18,In,0.5
A,30,19,In,0.5
A,30,20,In,0.5
A,30,21,In,0.5
A,30,22,In,0.25
A,30,23,In,0.25
A,30,24,In,0.25
A,30,25,In,0.25
A,30,26,In,0.25
A,30,27,In,0.25
A,30,28,In,0.25
A,30,1,Out,1
A,30,2,Out,1
A,30,3,Out,1
A,30,4,Out,1
A,30,5,Out,1
A,30,6,Out,1
A,30,7,Out,1
A,30,8,Out,1
A,30,9,Out,1
A,30,10,Out,1
A,30,11,Out,1
A,30,12,Out,1
A,30,13,Out,1
A,30,14,Out,1
A,30,15,Out,1
A,30,16,Out,1
A,30,17,Out,1
A,30,18,Out,1
A,30,19,Out,1
A,30,20,Out,1
A,30,21,Out,1
A,30,22,Out,1
A,30,23,Out,1
A,30,24,Out,1
A,30,25,Out,1
A,30,26,Out,1
A,30,27,Out,1
A,30,28,Out,1
B,20,1,In,1
B,20,2,In,1
B,20,3,In,1
B,20,4,In,1
B,20,5,In,1
B,20,6,In,0.75
B,20,7,In,0.75
B,20,8,In,0.75
B,20,9,In,0.75
B,20,10,In,0.75
B,20,11,In,0.75
B,20,12,In,0.75
B,20,13,In,0.75
B,20,14,In,0.75
B,20,15,In,0.75
B,20,16,In,0.75
B,20,17,In,0.75
B,20,18,In,0.75
B,20,19,In,0.75
B,20,20,In,0.75
B,20,21,In,0.75
B,20,22,In,0.75
B,20,23,In,0.75
B,20,24,In,0.75
B,20,25,In,0.75
B,20,26,In,0.75
B,20,27,In,0.75
B,20,28,In,0.75
B,20,1,Out,1
B,20,2,Out,1
B,20,3,Out,1
B,20,4,Out,0.75
B,20,5,Out,0.75
B,20,6,Out,0.25
B,20,7,Out,0.25
B,20,8,Out,0.25
B,20,9,Out,0
B,20,10,Out,0
B,20,11,Out,0
B,20,12,Out,0
B,20,13,Out,0
B,20,14,Out,0
B,20,15,Out,0
B,20,16,Out,0
B,20,17,Out,0
B,20,18,Out,0
B,20,19,Out,0
B,20,20,Out,0
B,20,21,Out,0
B,20,22,Out,0
B,20,23,Out,0
B,20,24,Out,0
B,20,25,Out,0
B,20,26,Out,0
B,20,27,Out,0
B,20,28,Out,0
C,20,1,In,1
C,20,2,In,1
C,20,3,In,1
C,20,4,In,1
C,20,5,In,1
C,20,6,In,1
C,20,7,In,1
C,20,8,In,1
C,20,9,In,1
C,20,10,In,1
C,20,11,In,1
C,20,12,In,1
C,20,13,In,1
C,20,14,In,1
C,20,15,In,1
C,20,16,In,1
C,20,17,In,1
C,20,18,In,1
C,20,19,In,1
C,20,20,In,1
C,20,21,In,1
C,20,22,In,1
C,20,23,In,1
C,20,24,In,1
C,20,25,In,1
C,20,26,In,1
C,20,27,In,1
C,20,28,In,1
C,20,1,Out,1
C,20,2,Out,1
C,20,3,Out,1
C,20,4,Out,1
C,20,5,Out,1
C,20,6,Out,1
C,20,7,Out,1
C,20,8,Out,1
C,20,9,Out,1
C,20,10,Out,1
C,20,11,Out,1
C,20,12,Out,1
C,20,13,Out,1
C,20,14,Out,1
C,20,15,Out,1
C,20,16,Out,1
C,20,17,Out,1
C,20,18,Out,1
C,20,19,Out,1
C,20,20,Out,1
C,20,21,Out,1
C,20,22,Out,1
C,20,23,Out,1
C,20,24,Out,1
C,20,25,Out,1
C,20,26,Out,1
C,20,27,Out,1
C,20,28,Out,1
D,10,1,In,1
D,10,2,In,1
D,10,3,In,1
D,10,4,In,1
D,10,5,In,1
D,10,6,In,1
D,10,7,In,1
D,10,8,In,1
D,10,9,In,1
D,10,10,In,1
D,10,11,In,1
D,10,12,In,1
D,10,13,In,1
D,10,14,In,1
D,10,15,In,1
D,10,16,In,1
D,10,17,In,1
D,10,18,In,1
D,10,19,In,1
D,10,20,In,1
D,10,21,In,1
D,10,22,In,1
D,10,23,In,1
D,10,24,In,0
D,10,25,In,0
D,10,26,In,0
D,10,27,In,0
D,10,28,In,0
D,10,1,Out,1
D,10,2,Out,1
D,10,3,Out,1
D,10,4,Out,1
D,10,5,Out,1
D,10,6,Out,1
D,10,7,Out,1
D,10,8,Out,1
D,10,9,Out,1
D,10,10,Out,1
D,10,11,Out,1
D,10,12,Out,1
D,10,13,Out,1
D,10,14,Out,1
D,10,15,Out,1
D,10,16,Out,1
D,10,17,Out,1
D,10,18,Out,1
D,10,19,Out,1
D,10,20,Out,1
D,10,21,Out,1
D,10,22,Out,1
D,10,23,Out,1
D,10,24,Out,0.25
D,10,25,Out,0
D,10,26,Out,0
D,10,27,Out,0
D,10,28,Out,0
E,10,1,In,1
E,10,2,In,1
E,10,3,In,1
E,10,4,In,1
E,10,5,In,1
E,10,6,In,1
E,10,7,In,1
E,10,8,In,1
E,10,9,In,1
E,10,10,In,1
E,10,11,In,1
E,10,12,In,1
E,10,13,In,1
E,10,14,In,1
E,10,15,In,1
E,10,16,In,1
E,10,17,In,1
E,10,18,In,1
E,10,19,In,1
E,10,20,In,1
E,10,21,In,1
E,10,22,In,1
E,10,23,In,1
E,10,24,In,0.75
E,10,25,In,0
E,10,26,In,0
E,10,27,In,0
E,10,28,In,0
E,10,1,Out,1
E,10,2,Out,1
E,10,3,Out,1
E,10,4,Out,1
E,10,5,Out,1
E,10,6,Out,1
E,10,7,Out,1
E,10,8,Out,1
E,10,9,Out,1
E,10,10,Out,1
E,10,11,Out,1
E,10,12,Out,1
E,10,13,Out,1
E,10,14,Out,1
E,10,15,Out,1
E,10,16,Out,1
E,10,17,Out,1
E,10,18,Out,1
E,10,19,Out,1
E,10,20,Out,1
E,10,21,Out,1
E,10,22,Out,1
E,10,23,Out,1
E,10,24,Out,0
E,10,25,Out,0
E,10,26,Out,0
E,10,27,Out,0
E,10,28,Out,0
F,10,1,In,1
F,10,2,In,1
F,10,3,In,1
F,10,4,In,1
F,10,5,In,1
F,10,6,In,1
F,10,7,In,1
F,10,8,In,1
F,10,9,In,1
F,10,10,In,1
F,10,11,In,1
F,10,12,In,1
F,10,13,In,1
F,10,14,In,1
F,10,15,In,1
F,10,16,In,1
F,10,17,In,1
F,10,18,In,1
F,10,19,In,1
F,10,20,In,1
F,10,21,In,1
F,10,22,In,0.5
F,10,23,In,0.5
F,10,24,In,0
F,10,25,In,0
F,10,26,In,0
F,10,27,In,0
F,10,28,In,0
F,10,1,Out,1
F,10,2,Out,1
F,10,3,Out,1
F,10,4,Out,1
F,10,5,Out,1
F,10,6,Out,1
F,10,7,Out,1
F,10,8,Out,1
F,10,9,Out,0.5
F,10,10,Out,0.5
F,10,11,Out,0.5
F,10,12,Out,0.5
F,10,13,Out,0.5
F,10,14,Out,0.5
F,10,15,Out,0.5
F,10,16,Out,0.5
F,10,17,Out,0.5
F,10,18,Out,0.5
F,10,19,Out,0.5
F,10,20,Out,0.5
F,10,21,Out,0.5
F,10,22,Out,0.5
F,10,23,Out,0.5
F,10,24,Out,0.5
F,10,25,Out,0.5
F,10,26,Out,0
F,10,27,Out,0
F,10,28,Out,0
G,30,1,In,1
G,30,2,In,1
G,30,3,In,1
G,30,4,In,1
G,30,5,In,1
G,30,6,In,1
G,30,7,In,1
G,30,8,In,1
G,30,9,In,1
G,30,10,In,1
G,30,11,In,1
G,30,12,In,1
G,30,13,In,1
G,30,14,In,1
G,30,15,In,1
G,30,16,In,1
G,30,17,In,1
G,30,18,In,1
G,30,19,In,1
G,30,20,In,1
G,30,21,In,1
G,30,22,In,1
G,30,23,In,1
G,30,24,In,1
G,30,25,In,1
G,30,26,In,1
G,30,27,In,1
G,30,28,In,1
G,30,1,Out,1
G,30,2,Out,1
G,30,3,Out,1
G,30,4,Out,0.75
G,30,5,Out,0.75
G,30,6,Out,0.75
G,30,7,Out,0.75
G,30,8,Out,0.75
G,30,9,Out,0.75
G,30,10,Out,0.75
G,30,11,Out,0.75
G,30,12,Out,0.75
G,30,13,Out,0.75
G,30,14,Out,0.75
G,30,15,Out,0.75
G,30,16,Out,0.75
G,30,17,Out,0.75
G,30,18,Out,0.75
G,30,19,Out,0.75
G,30,20,Out,0.75
G,30,21,Out,0.75
G,30,22,Out,0.75
G,30,23,Out,0.75
G,30,24,Out,0.75
G,30,25,Out,0.75
G,30,26,Out,0.75
G,30,27,Out,0.75
G,30,28,Out,0.75
H,20,1,In,1
H,20,2,In,1
H,20,3,In,1
H,20,4,In,1
H,20,5,In,1
H,20,6,In,0.75
H,20,7,In,0.75
H,20,8,In,0.75
H,20,9,In,0.75
H,20,10,In,0.75
H,20,11,In,0.75
H,20,12,In,0.75
H,20,13,In,0.75
H,20,14,In,0.75
H,20,15,In,0.75
H,20,16,In,0.75
H,20,17,In,0.75
H,20,18,In,0.75
H,20,19,In,0.75
H,20,20,In,0.75
H,20,21,In,0.75
H,20,22,In,0.75
H,20,23,In,0.75
H,20,24,In,0.75
H,20,25,In,0.75
H,20,26,In,0.75
H,20,27,In,0.75
H,20,28,In,0.75
H,20,1,Out,1
H,20,2,Out,1
H,20,3,Out,1
H,20,4,Out,1
H,20,5,Out,1
H,20,6,Out,1
H,20,7,Out,1
H,20,8,Out,0.75
H,20,9,Out,0.75
H,20,10,Out,0.75
H,20,11,Out,0.75
H,20,12,Out,0.75
H,20,13,Out,0.75
H,20,14,Out,0.75
H,20,15,Out,0.75
H,20,16,Out,0.75
H,20,17,Out,0.75
H,20,18,Out,0.75
H,20,19,Out,0.75
H,20,20,Out,0.75
H,20,21,Out,0.75
H,20,22,Out,0.75
H,20,23,Out,0.75
H,20,24,Out,0.75
H,20,25,Out,0.75
H,20,26,Out,0.75
H,20,27,Out,0.75
H,20,28,Out,0.75
I,20,1,In,1
I,20,2,In,1
I,20,3,In,1
I,20,4,In,1
I,20,5,In,1
I,20,6,In,1
I,20,7,In,1
I,20,8,In,1
I,20,9,In,1
I,20,10,In,1
I,20,11,In,1
I,20,12,In,1
I,20,13,In,1
I,20,14,In,1
I,20,15,In,1
I,20,16,In,1
I,20,17,In,1
I,20,18,In,1
I,20,19,In,1
I,20,20,In,1
I,20,21,In,1
I,20,22,In,1
I,20,23,In,1
I,20,24,In,1
I,20,25,In,1
I,20,26,In,1
I,20,27,In,1
I,20,28,In,1
I,20,1,Out,1
I,20,2,Out,1
I,20,3,Out,1
I,20,4,Out,1
I,20,5,Out,1
I,20,6,Out,1
I,20,7,Out,1
I,20,8,Out,1
I,20,9,Out,1
I,20,10,Out,1
I,20,11,Out,1
I,20,12,Out,1
I,20,13,Out,1
I,20,14,Out,1
I,20,15,Out,1
I,20,16,Out,1
I,20,17,Out,1
I,20,18,Out,1
I,20,19,Out,1
I,20,20,Out,1
I,20,21,Out,1
I,20,22,Out,1
I,20,23,Out,1
I,20,24,Out,1
I,20,25,Out,1
I,20,26,Out,1
I,20,27,Out,1
I,20,28,Out,1
J,30,1,In,1
J,30,2,In,1
J,30,3,In,1
J,30,4,In,1
J,30,5,In,1
J,30,6,In,1
J,30,7,In,1
J,30,8,In,1
J,30,9,In,1
J,30,10,In,1
J,30,11,In,1
J,30,12,In,1
J,30,13,In,1
J,30,14,In,1
J,30,15,In,1
J,30,16,In,1
J,30,17,In,1
J,30,18,In,1
J,30,19,In,1
J,30,20,In,1
J,30,21,In,1
J,30,22,In,1
J,30,23,In,1
J,30,24,In,1
J,30,25,In,1
J,30,26,In,1
J,30,27,In,1
J,30,28,In,1
J,30,1,Out,1
J,30,2,Out,1
J,30,3,Out,1
J,30,4,Out,1
J,30,5,Out,1
J,30,6,Out,1
J,30,7,Out,1
J,30,8,Out,1
J,30,9,Out,1
J,30,10,Out,1
J,30,11,Out,1
J,30,12,Out,1
J,30,13,Out,1
J,30,14,Out,1
J,30,15,Out,1
J,30,16,Out,1
J,30,17,Out,1
J,30,18,Out,1
J,30,19,Out,1
J,30,20,Out,1
J,30,21,Out,1
J,30,22,Out,1
J,30,23,Out,1
J,30,24,Out,1
J,30,25,Out,1
J,30,26,Out,1
J,30,27,Out,1
J,30,28,Out,1
K,10,1,In,1
K,10,2,In,1
K,10,3,In,1
K,10,4,In,1
K,10,5,In,1
K,10,6,In,0.75
K,10,7,In,0.75
K,10,8,In,0.75
K,10,9,In,0.75
K,10,10,In,0.75
K,10,11,In,0.75
K,10,12,In,0.75
K,10,13,In,0.75
K,10,14,In,0.75
K,10,15,In,0.75
K,10,16,In,0.75
K,10,17,In,0.75
K,10,18,In,0.75
K,10,19,In,0.75
K,10,20,In,0.75
K,10,21,In,0.75
K,10,22,In,0.75
K,10,23,In,0.75
K,10,24,In,0
K,10,25,In,0
K,10,26,In,0
K,10,27,In,0
K,10,28,In,0
K,10,1,Out,1
K,10,2,Out,1
K,10,3,Out,1
K,10,4,Out,1
K,10,5,Out,1
K,10,6,Out,1
K,10,7,Out,1
K,10,8,Out,1
K,10,9,Out,1
K,10,10,Out,1
K,10,11,Out,1
K,10,12,Out,1
K,10,13,Out,1
K,10,14,Out,1
K,10,15,Out,1
K,10,16,Out,1
K,10,17,Out,1
K,10,18,Out,1
K,10,19,Out,1
K,10,20,Out,1
K,10,21,Out,1
K,10,22,Out,1
K,10,23,Out,1
K,10,24,Out,0
K,10,25,Out,0
K,10,26,Out,0
K,10,27,Out,0
K,10,28,Out,0
L,30,1,In,1
L,30,2,In,1
L,30,3,In,1
L,30,4,In,1
L,30,5,In,1
L,30,6,In,1
L,30,7,In,1
L,30,8,In,1
L,30,9,In,1
L,30,10,In,1
L,30,11,In,1
L,30,12,In,1
L,30,13,In,1
L,30,14,In,1
L,30,15,In,1
L,30,16,In,1
L,30,17,In,1
L,30,18,In,1
L,30,19,In,1
L,30,20,In,1
L,30,21,In,1
L,30,22,In,1
L,30,23,In,1
L,30,24,In,1
L,30,25,In,1
L,30,26,In,1
L,30,27,In,1
L,30,28,In,1
L,30,1,Out,1
L,30,2,Out,1
L,30,3,Out,1
L,30,4,Out,1
L,30,5,Out,1
L,30,6,Out,1
L,30,7,Out,1
L,30,8,Out,1
L,30,9,Out,1
L,30,10,Out,1
L,30,11,Out,1
L,30,12,Out,1
L,30,13,Out,1
L,30,14,Out,1
L,30,15,Out,1
L,30,16,Out,1
L,30,17,Out,1
L,30,18,Out,1
L,30,19,Out,1
L,30,20,Out,1
L,30,21,Out,1
L,30,22,Out,1
L,30,23,Out,1
L,30,24,Out,1
L,30,25,Out,1
L,30,26,Out,1
L,30,27,Out,1
L,30,28,Out,1
Table,30,1,In,1
Table,30,2,In,1
Table,30,3,In,1
Table,30,4,In,1
Table,30,5,In,1
Table,30,6,In,1
Table,30,7,In,1
Table,30,8,In,1
Table,30,9,In,1
Table,30,10,In,1
Table,30,11,In,1
Table,30,12,In,1
Table,30,13,In,1
Table,30,14,In,1
Table,30,15,In,1
Table,30,16,In,1
Table,30,17,In,1
Table,30,18,In,1
Table,30,19,In,1
Table,30,20,In,1
Table,30,21,In,1
Table,30,22,In,1
Table,30,23,In,1
Table,30,24,In,1
Table,30,25,In,1
Table,30,26,In,1
Table,30,27,In,1
Table,30,28,In,1
Table,30,1,Out,1
Table,30,2,Out,1
Table,30,3,Out,1
Table,30,4,Out,1
Table,30,5,Out,1
Table,30,6,Out,1
Table,30,7,Out,1
Table,30,8,Out,1
Table,30,9,Out,1
Table,30,10,Out,1
Table,30,11,Out,1
Table,30,12,Out,1
Table,30,13,Out,1
Table,30,14,Out,0.75
Table,30,15,Out,0.75
Table,30,16,Out,0.75
Table,30,17,Out,0.75
Table,30,18,Out,0.75
Table,30,19,Out,0.75
Table,30,20,Out,0.75
Table,30,21,Out,0.75
Table,30,22,Out,0.75
Table,30,23,Out,0.75
Table,30,24,Out,0.75
Table,30,25,Out,0.75
Table,30,26,Out,0.75
Table,30,27,Out,0.75
Table,30,28,Out,0.75