Tank,Length,Tide Treatment,Salinity,# Days Survived
A,24,In,30,30
A,24,In,30,40
A,21,In,30,40
A,29,In,30,50
A,23,Out,30,6
A,31,Out,30,40
A,20,Out,30,50
A,24,Out,30,50
B,22,In,20,16
B,26,In,20,40
B,21,In,20,50
B,27,In,20,50
B,19,Out,20,10
B,25,Out,20,17
B,26,Out,20,50
B,25,Out,20,50
C,23,In,20,7
C,10,In,20,10
C,23,In,20,11
C,31,In,20,27
C,35,Out,20,40
C,25,Out,20,3
C,25,Out,20,3
C,24,Out,20,50
D,22,In,10,10
D,25,In,10,16
D,26,In,10,19
D,31,In,10,20
D,25,Out,10,3
D,24,Out,10,7
D,23,Out,10,24
D,20,Out,10,24
E,28,In,10,7
E,27,In,10,20
E,24,In,10,20
E,28,In,10,27
E,26,Out,10,7
E,29,Out,10,27
E,22,Out,10,27
E,21,Out,10,27
F,23,In,10,20
F,31,In,10,27
F,18,In,10,27
F,26,In,10,27
F,30,Out,10,19
F,23,Out,10,20
F,20,Out,10,27
F,27,Out,10,27
G,25,In,30,3
G,25,In,30,3
G,25,In,30,3
G,30,In,30,10
G,31,Out,30,6
G,25,Out,30,24
G,21,Out,30,50
G,20,Out,30,50
H,25,In,20,3
H,25,In,20,50
H,31,In,20,50
H,25,In,20,50
H,21,Out,20,6
H,30,Out,20,7
H,25,Out,20,3
H,16,Out,20,17
I,24,In,20,10
I,23,In,20,50
I,27,In,20,50
I,22,In,20,50
I,21,Out,20,7
I,27,Out,20,50
I,28,Out,20,50
I,28,Out,20,50
J,29,In,30,6
J,26,In,30,10
J,23,In,30,50
J,20,In,30,50
J,14,Out,30,6
J,27,Out,30,50
J,23,Out,30,50
J,17,Out,30,50
K,32,In,10,19
K,27,In,10,27
K,15,In,10,27
K,30,In,10,27
K,30,Out,10,10
K,25,Out,10,3
K,25,Out,10,3
K,21,Out,10,27
L,25,In,30,3
L,25,In,30,3
L,21,In,30,50
L,27,In,30,50
L,23,Out,30,12
L,27,Out,30,33
L,25,Out,30,3
L,25,Out,30,50
Table,32,In,31,3
Table,22,In,31,50
Table,23,In,31,50
Table,21,In,31,50
Table,22,Out,31,50
Table,30,Out,31,50
Table,32,Out,31,50
Table,20,Out,31,50
,24.67307692,,,